plan_label,extractor_mean_quality,summarizer_mean_quality,classifier_mean_quality
"('GPT_4_1_MINI', 'GPT_4o_MINI', 'GPT_5')",0.35913803251783927,0.14285714285714285,0.6
"('GPT_4_1_MINI', 'GPT_4o_MINI', 'GPT_5_MINI')",0.35477569618545685,0.42857142857142855,0.6
"('GPT_4_1_MINI', 'GPT_4o_MINI', 'GPT_5_NANO')",0.35913803251783927,0.14285714285714285,0.6
"('GPT_4_1_MINI', 'GPT_4o_MINI', 'o4_MINI')",0.3596703890501958,0.14285714285714285,0.6
"('GPT_4_1_MINI', 'GPT_5', 'GPT_4_1')",0.3553080527178134,1.0,0.6
"('GPT_4_1_MINI', 'GPT_5', 'GPT_4_1_MINI')",0.3553080527178134,1.0,0.6
"('GPT_4_1_MINI', 'GPT_5', 'GPT_4_1_NANO')",0.3596703890501958,1.0,0.6
"('GPT_4_1_MINI', 'GPT_5', 'GPT_5')",0.3547537214663773,1.0,0.6
"('GPT_4_1_MINI', 'GPT_5', 'GPT_5_NANO')",0.3553080527178134,0.8571428571428571,0.6
"('GPT_4_1_MINI', 'GPT_5_MINI', 'GPT_4_1')",0.3553080527178134,0.8571428571428571,0.7
"('GPT_4_1_MINI', 'GPT_5_MINI', 'GPT_4_1_MINI')",0.3553080527178134,0.7142857142857143,0.6
"('GPT_4_1_MINI', 'GPT_5_MINI', 'GPT_4_1_NANO')",0.4553080527178134,0.5,0.7
"('GPT_4_1_MINI', 'GPT_5_MINI', 'o4_MINI')",0.3553080527178134,0.5714285714285714,0.6
"('GPT_4_1_MINI', 'GPT_5_NANO', 'GPT_4_1_MINI')",0.4553080527178134,0.5,0.7
"('GPT_4_1_MINI', 'GPT_5_NANO', 'GPT_4o_MINI')",0.3596703890501958,0.5714285714285714,0.7
"('GPT_4_1_MINI', 'GPT_5_NANO', 'GPT_5')",0.3553080527178134,0.42857142857142855,0.6
"('GPT_4_1_MINI', 'GPT_5_NANO', 'GPT_5_MINI')",0.3553080527178134,0.5714285714285714,0.7
"('GPT_4_1_MINI', 'GPT_5_NANO', 'GPT_5_NANO')",0.3596703890501958,0.7142857142857143,0.6
"('GPT_4_1_MINI', 'o4_MINI', 'GPT_4_1_MINI')",0.35913803251783927,0.42857142857142855,0.7
"('GPT_4_1_MINI', 'o4_MINI', 'GPT_4o')",0.35913803251783927,0.2857142857142857,0.7
"('GPT_4_1_MINI', 'o4_MINI', 'GPT_4o_MINI')",0.4596703890501958,0.3333333333333333,0.7
"('GPT_4_1_NANO', 'GPT_4_1', 'GPT_4_1_MINI')",0.3525916815219796,0.8,0.6
"('GPT_4_1_NANO', 'GPT_4_1', 'GPT_4_1_NANO')",0.5609040511727079,1.0,0.6
"('GPT_4_1_NANO', 'GPT_4_1', 'GPT_4o')",0.441101437883927,1.0,0.6
"('GPT_4_1_NANO', 'GPT_4_1', 'GPT_5')",0.4069798618977504,0.8,0.6
"('GPT_4_1_NANO', 'GPT_4_1', 'GPT_5_NANO')",0.4983243031155354,0.6666666666666666,0.6
"('GPT_4_1_NANO', 'GPT_4_1', 'o4_MINI')",0.35593103132062115,0.8,0.6
