plan_label,extractor_mean_quality,summarizer_mean_quality,classifier_mean_quality
"('GPT_4_1_NANO', 'GPT_4o_MINI', 'o4_MINI')",0.5061909854851031,0.3333333333333333,0.6
"('GPT_4_1', 'GPT_4o', 'GPT_4_1_NANO')",0.2568452380758632,0.875,0.6
"('GPT_4o', 'GPT_4o_MINI', 'GPT_5_MINI')",0.7240315638450502,0.6666666666666666,0.7
"('GPT_4_1', 'GPT_5', 'GPT_4_1')",0.2563226024278286,1.0,0.6
"('GPT_4_1_NANO', 'GPT_5_MINI', 'GPT_4_1')",0.3489464758098861,0.4,0.6
"('GPT_5_NANO', 'GPT_5_MINI', 'GPT_5_MINI')",0.6529999915374004,0.3333333333333333,0.6
"('GPT_5_MINI', 'GPT_5_MINI', 'GPT_4_1')",0.5258369290025933,0.75,0.6
"('GPT_5', 'o4_MINI', 'GPT_4_1')",0.5325655563551626,0.5,0.6
"('GPT_5', 'GPT_4_1_MINI', 'GPT_4o')",0.5406487431726336,0.75,0.6
"('GPT_4o', 'GPT_4_1_NANO', 'GPT_4o')",0.6759647314783007,1.0,0.7
"('GPT_4o', 'GPT_5_MINI', 'GPT_4o_MINI')",0.6411744209879073,0.3333333333333333,0.6
"('GPT_5', 'GPT_5', 'GPT_4_1')",0.5718122495068596,0.8,0.8
"('o4_MINI', 'GPT_5_NANO', 'GPT_4_1_NANO')",0.6597569491517596,0.6666666666666666,0.8
"('GPT_5_NANO', 'GPT_4_1_NANO', 'GPT_4_1_MINI')",0.6398907185182979,0.6666666666666666,0.7
"('GPT_5', 'GPT_4_1_MINI', 'GPT_4_1')",0.5691130482641704,0.8,0.7
"('GPT_5_NANO', 'GPT_5', 'GPT_4o')",0.637456453548042,1.0,0.6
"('GPT_5_NANO', 'GPT_5_NANO', 'GPT_4o')",0.6388267165936201,0.5,0.7
"('GPT_5_MINI', 'GPT_4o_MINI', 'GPT_5')",0.5169220875642675,0.5,0.7
"('GPT_4_1_NANO', 'GPT_5_MINI', 'GPT_5_MINI')",0.3564633878529777,0.6,0.6
"('GPT_4o_MINI', 'GPT_4_1', 'GPT_4_1')",0.6377141006961308,1.0,0.6
"('GPT_5', 'GPT_4o', 'GPT_4_1')",0.6372191204871052,0.8,0.7
"('GPT_4o', 'GPT_4_1_MINI', 'GPT_4_1')",0.6498083360924107,1.0,0.8
"('GPT_5_MINI', 'GPT_5_NANO', 'GPT_4_1')",0.5150576849026984,0.25,0.6
"('GPT_4_1', 'GPT_5_MINI', 'GPT_5_MINI')",0.2499364476431277,1.0,0.7
"('GPT_5_MINI', 'GPT_4o_MINI', 'GPT_4o_MINI')",0.5021400880316153,0.6,0.6
"('GPT_4o', 'GPT_5_MINI', 'GPT_5')",0.697560975609756,1.0,0.6
"('GPT_4o_MINI', 'GPT_4_1', 'GPT_5_NANO')",0.6827141006961308,1.0,0.7
"('GPT_4o_MINI', 'GPT_4_1_NANO', 'GPT_5_NANO')",0.5593103448275862,1.0,0.6
"('GPT_4_1_MINI', 'GPT_4o_MINI', 'GPT_4_1_MINI')",0.3547756961854568,0.2857142857142857,0.6
"('GPT_4_1_NANO', 'GPT_5', 'GPT_4_1_MINI')",0.3479832413767218,1.0,0.6
"('GPT_4o', 'GPT_4o', 'GPT_5_MINI')",0.5975609756097561,1.0,0.6
"('GPT_4_1', 'GPT_4_1', 'GPT_5_MINI')",0.2557925767579775,1.0,0.6
"('GPT_5_MINI', 'GPT_4o', 'GPT_4o_MINI')",0.4822193361547131,0.6666666666666666,0.6
"('GPT_5_MINI', 'GPT_4_1', 'GPT_5')",0.5961834895516257,1.0,0.6
"('GPT_4_1', 'GPT_4_1_MINI', 'GPT_5')",0.2599128283762563,1.0,0.6
"('GPT_5_MINI', 'GPT_5', 'GPT_5_NANO')",0.512008170490146,1.0,0.7
"('GPT_4_1_NANO', 'GPT_4o', 'GPT_5_NANO')",0.3537374131219171,0.4,0.7
"('GPT_4_1_NANO', 'GPT_4_1', 'GPT_4_1_MINI')",0.3525916815219796,0.8,0.6
"('o4_MINI', 'GPT_5', 'GPT_4_1')",0.6388267165936201,1.0,0.6
"('GPT_5', 'GPT_4_1', 'o4_MINI')",0.5735886265394037,1.0,0.7
"('GPT_4o_MINI', 'GPT_4_1_NANO', 'GPT_4o')",0.6884108527131783,1.0,0.8
"('GPT_4o_MINI', 'GPT_4o', 'o4_MINI')",0.6561731568123494,1.0,0.9
"('GPT_4o', 'GPT_4o_MINI', 'GPT_4_1_NANO')",0.6759647314783007,0.5,0.7
"('GPT_4o_MINI', 'GPT_5_MINI', 'GPT_5')",0.6218146085817229,0.5,0.6
"('GPT_4_1_NANO', 'GPT_4_1_MINI', 'GPT_4o_MINI')",0.3568935677738974,0.6,0.7
"('GPT_4o', 'o4_MINI', 'GPT_5')",0.6759647314783007,0.5,0.6
"('GPT_4o', 'GPT_4_1_NANO', 'GPT_5_NANO')",0.697560975609756,1.0,0.7
"('GPT_5_NANO', 'GPT_4_1_MINI', 'GPT_4_1')",0.5388267165936201,1.0,0.5
"('GPT_4_1_NANO', 'GPT_4_1_MINI', 'o4_MINI')",0.3529759821304555,0.6,0.7
"('GPT_4_1_MINI', 'GPT_5_MINI', 'GPT_4_1')",0.3553080527178134,0.8571428571428571,0.7
"('GPT_4_1_NANO', 'GPT_5_NANO', 'GPT_4_1_NANO')",0.3449408854490881,0.4,0.6
"('GPT_4_1_NANO', 'GPT_4_1_NANO', 'GPT_5_NANO')",0.3479832413767218,0.6,0.6
"('GPT_4o', 'GPT_4_1_MINI', 'o4_MINI')",0.697560975609756,1.0,0.7
"('GPT_5_MINI', 'GPT_5_MINI', 'GPT_4_1_NANO')",0.5948174247502946,0.6666666666666666,0.7
"('GPT_4_1_NANO', 'GPT_4_1_NANO', 'o4_MINI')",0.4526333030027297,0.6666666666666666,0.6
"('o4_MINI', 'GPT_4o_MINI', 'GPT_4o_MINI')",0.6013320516341665,0.5,0.6
"('GPT_4_1_MINI', 'GPT_5', 'GPT_5_NANO')",0.3553080527178134,0.8571428571428571,0.6
"('GPT_4_1', 'GPT_4o_MINI', 'GPT_4o_MINI')",0.2599761106198662,0.625,0.6
"('GPT_4_1', 'GPT_5_NANO', 'GPT_4_1_MINI')",0.2544390970719175,0.875,0.7
"('GPT_4o', 'GPT_4_1_NANO', 'GPT_4_1_MINI')",0.5975609756097561,1.0,0.6
"('GPT_4_1_NANO', 'GPT_5_NANO', 'GPT_4_1')",0.3486038500506586,0.25,0.6
"('GPT_4_1_MINI', 'GPT_5', 'GPT_5')",0.3547537214663773,1.0,0.6
"('GPT_4o', 'GPT_5_NANO', 'GPT_4o_MINI')",0.6258628624022089,0.5,0.6
"('GPT_4o_MINI', 'GPT_5_MINI', 'GPT_5_NANO')",0.5880282935455349,1.0,0.7
"('GPT_4o_MINI', 'GPT_4o_MINI', 'o4_MINI')",0.7032127838519765,0.3333333333333333,0.6
"('GPT_5_NANO', 'GPT_4_1', 'GPT_4_1_MINI')",0.619119936016245,1.0,0.6
"('GPT_4o_MINI', 'GPT_4_1', 'GPT_5')",0.7043103448275863,1.0,0.7
"('GPT_4_1_NANO', 'GPT_5_NANO', 'GPT_4o_MINI')",0.4131428571428571,1.0,0.5
"('GPT_4o', 'GPT_4_1_NANO', 'GPT_5')",0.5975609756097561,1.0,0.6
"('GPT_5', 'GPT_4_1', 'GPT_4_1_NANO')",0.5810994162496106,1.0,0.7
"('GPT_4_1_NANO', 'GPT_4_1', 'o4_MINI')",0.3559310313206211,0.8,0.6
"('GPT_5_NANO', 'GPT_4o_MINI', 'GPT_5_MINI')",0.7073534528610471,0.6666666666666666,0.7
"('GPT_5_NANO', 'GPT_4o', 'GPT_5_NANO')",0.5388267165936201,1.0,0.5
"('GPT_5_NANO', 'GPT_4o_MINI', 'GPT_5_NANO')",0.5388267165936201,0.3333333333333333,0.5
"('o4_MINI', 'GPT_4o_MINI', 'GPT_4_1_NANO')",0.6873933029068721,0.6666666666666666,0.8
"('GPT_5_MINI', 'GPT_5_MINI', 'GPT_4_1_MINI')",0.5006587430581744,0.25,0.7
"('GPT_4o_MINI', 'GPT_4_1_MINI', 'GPT_4_1')",0.6593103448275862,1.0,0.6
"('o4_MINI', 'GPT_5_NANO', 'GPT_4_1_MINI')",0.6762735036247988,0.6666666666666666,0.8
"('GPT_5_NANO', 'GPT_4_1_NANO', 'o4_MINI')",0.5388267165936201,1.0,0.6
"('GPT_4o_MINI', 'GPT_4o', 'GPT_4_1')",0.7032127838519765,0.6666666666666666,0.7
"('GPT_5_MINI', 'GPT_4_1_MINI', 'o4_MINI')",0.5404571262982708,1.0,0.7
"('GPT_4_1_NANO', 'o4_MINI', 'GPT_4_1')",0.4418391818343397,0.5,0.6
"('GPT_4_1', 'GPT_5_NANO', 'GPT_4o')",0.2507391198858614,1.0,0.7
"('GPT_4_1', 'GPT_4_1_MINI', 'GPT_5_MINI')",0.2571964828414393,1.0,0.6
"('GPT_5_MINI', 'o4_MINI', 'GPT_5_NANO')",0.5147642322902237,0.6,0.6
"('GPT_4o_MINI', 'GPT_4_1_MINI', 'GPT_4_1_NANO')",0.6377141006961308,1.0,0.7
"('GPT_5_NANO', 'GPT_5', 'GPT_5')",0.8265460148392341,1.0,0.7
"('GPT_4_1_NANO', 'GPT_5', 'GPT_4o')",0.446,1.0,0.6
"('GPT_4o', 'o4_MINI', 'GPT_5_NANO')",0.721090387374462,0.6666666666666666,0.7
