plan_label,quality,total_latency_secs,total_cost_usd,op_latency_secs,op_cost_usd,correct,n_papers,error
"('GPT_4_1', 'GPT_4o')",0.3333333333333333,11.138271570205688,0.0195405,"[7.823668956756592, 3.3146026134490967]","[0.012098, 0.0074425]",1.0,3,
"('GPT_4o', 'GPT_4o_MINI')",0.6666666666666666,11.749728441238403,0.0149721,"[7.53230619430542, 4.217422246932983]","[0.014542500000000002, 0.00042960000000000003]",2.0,3,
"('GPT_5_MINI', 'GPT_5')",1.0,23.890893936157227,0.0106125,"[15.958587646484375, 7.932306289672852]","[0.0028025, 0.007810000000000001]",3.0,3,
"('GPT_5', 'GPT_4_1_MINI')",1.0,25.793564081192017,0.0269449,"[22.987074613571167, 2.8064894676208496]","[0.0260325, 0.0009124]",3.0,3,
"('GPT_5_NANO', 'GPT_5_MINI')",1.0,26.82334303855896,0.00253145,"[18.21699595451355, 8.60634708404541]","[0.0012317, 0.00129975]",3.0,3,
"('GPT_5_NANO', 'GPT_4o')",1.0,28.8612060546875,0.0085942,"[25.640186309814453, 3.221019744873047]","[0.0012117, 0.0073825]",3.0,3,
"('GPT_4o_MINI', 'GPT_4o_MINI')",0.6666666666666666,15.423814296722412,0.0012285,"[11.129684209823608, 4.294130086898804]","[0.00082935, 0.00039915]",2.0,3,
"('GPT_4o', 'o4_MINI')",0.3333333333333333,11.910290002822876,0.0186262,"[6.115915536880493, 5.794374465942383]","[0.014152500000000002, 0.004473700000000001]",1.0,3,
"('GPT_5_NANO', 'GPT_4o_MINI')",1.0,27.44727253913879,0.00166,"[21.827686309814453, 5.619586229324341]","[0.0011929000000000002, 0.00046709999999999997]",3.0,3,
"('GPT_5_MINI', 'GPT_4o_MINI')",1.0,21.550565719604492,0.0034658,"[15.690763235092163, 5.859802484512329]","[0.0030124999999999996, 0.0004533]",3.0,3,
"('GPT_4_1_MINI', 'GPT_5')",0.6666666666666666,18.602904558181763,0.01030105,"[6.941420555114746, 11.661484003067017]","[0.0019348000000000004, 0.008366250000000002]",2.0,3,
"('GPT_4_1_MINI', 'GPT_4_1_MINI')",0.6666666666666666,7.155031204223633,0.0028448,"[5.449178218841553, 1.70585298538208]","[0.0019460000000000002, 0.0008988000000000001]",2.0,3,
"('GPT_4_1_MINI', 'GPT_4_1_NANO')",0.6666666666666666,8.436180114746094,0.0023054,"[6.085972785949707, 2.3502073287963867]","[0.0019764, 0.0003290000000000001]",2.0,3,
"('GPT_5', 'GPT_4o_MINI')",1.0,23.62053942680359,0.0204775,"[19.260558366775513, 4.359981060028076]","[0.0200425, 0.000435]",3.0,3,
"('GPT_4_1', 'GPT_4_1')",0.3333333333333333,10.698668241500854,0.017626,"[7.038098335266113, 3.660569906234741]","[0.012002, 0.0056240000000000005]",1.0,3,
"('GPT_4_1_NANO', 'GPT_4_1_MINI')",0.6666666666666666,3.3291311264038086,0.0012613,"[2.139570474624634, 1.1895606517791748]","[0.00042449999999999996, 0.0008368]",2.0,3,
"('GPT_4_1_MINI', 'GPT_4_1')",0.6666666666666666,9.057889699935911,0.007596,"[5.225902080535889, 3.8319876194000244]","[0.0018340000000000003, 0.005762]",2.0,3,
"('GPT_4_1_NANO', 'GPT_5')",0.6666666666666666,12.049015283584597,0.0079377,"[2.3002736568450928, 9.748741626739502]","[0.0004177, 0.007520000000000001]",2.0,3,
"('o4_MINI', 'GPT_5_MINI')",1.0,23.1933810710907,0.0114974,"[17.141836166381836, 6.051544904708862]","[0.0104654, 0.001032]",3.0,3,
"('GPT_4o_MINI', 'GPT_4_1_MINI')",0.6666666666666666,14.267398834228516,0.00162135,"[10.393693923950195, 3.8737049102783203]","[0.0007993499999999999, 0.000822]",2.0,3,
"('GPT_4_1', 'GPT_5')",0.3333333333333333,20.076528549194336,0.019859,"[7.198428630828857, 12.878099918365479]","[0.012274, 0.007585000000000001]",1.0,3,
"('GPT_4o', 'GPT_5_NANO')",0.6666666666666666,15.70835566520691,0.0141285,"[5.809022665023804, 9.899333000183105]","[0.0136725, 0.000456]",2.0,3,
"('GPT_5_MINI', 'GPT_5_NANO')",1.0,26.50585412979126,0.0035557999999999,"[16.51190447807312, 9.99394965171814]","[0.0030645, 0.0004913000000000001]",3.0,3,
"('GPT_4o', 'GPT_4_1_MINI')",0.3333333333333333,6.4968085289001465,0.0146429,"[5.154984951019287, 1.3418235778808594]","[0.013812500000000002, 0.0008304]",1.0,3,
"('GPT_5', 'GPT_4_1')",1.0,23.67869281768799,0.0274745,"[20.640976190567017, 3.0377166271209717]","[0.021622500000000003, 0.0058519999999999996]",3.0,3,
"('GPT_5_MINI', 'GPT_4_1_NANO')",1.0,16.471028804779053,0.0032218999999999,"[14.348097324371338, 2.122931480407715]","[0.0029144999999999996, 0.00030740000000000005]",3.0,3,
